review_priority,supplier_item_id,source_row_number,normalised_brand,candidate_original_name,supplier_clone_name,supplier_code,flags,required_action
Medium,SUP-20260426-00105,108,Amouage,Interlude,,240802,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00106,109,Amouage,Opus Vi,Arabian Poetry,342271-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00107,111,Amouage,Overture Man,Gentlemans Mystique,233742,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00108,112,Amouage,Portrayal Man,Holographic Man,233724,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00109,113,Amouage,Portrayal Woman,Holographic Woman,503654,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00110,114,Amouage,Rose Incense,Omani Maverick,339688,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00111,115,Amouage,Silver Men,Titanium,230792,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00112,116,Amouage,Imitation Woman,Sweet Art,339447,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00113,117,Amouage,Honour Woman,Nobility,232459,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00114,118,Amouage,Guidance,,204567,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00127,131,Anfasic Dokhoon,Sukar,Sweet Elegance,260816-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00132,136,Angel Shlesser,Angel Schlesser Femme,Ranway Fashion,346712-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00133,137,Anna Sui,Fantasia,Land Of Dreams,343635,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00134,138,Anna Sui,Flight Of Fancy Spirit,Chichi Soul,343730,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00135,139,Anna Sui,Lucky Wish,Jackpot,342748,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00136,140,Antonio,Blue Seduction Men,Zorro,238552,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00137,141,Antonio,Seduction In Black,Seductive Man,359969,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00138,142,Antonio,Seduction In Black,Seductive Man,359969-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00139,143,Antonio,The Secret,Keyhole,239297,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00140,144,Antonio,The Secret Temptation,Allure Whispers,353738,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00141,145,Antonio,The Icon,Hombre Attractivo,354007,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00142,146,Antonio,Blue Seduction For Men,Bluzorro,461995-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00143,147,Antonio Banderas,Blue Seduction (blue Colour),Blue Seduction,240124,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00145,149,Aquolina,Pink Sugar,Sweet Ribbon,339416,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00151,155,Arabian OUD,Arabian Knight,Gilbert,353810-T,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00155,159,Arabian OUD,Madawi 40 Years Gold Edition,,240056,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00164,169,Ariana Grande,Mod Vanilla,Iconic Twiggy,336298,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00168,173,Armand,Basi In Red,Red Bassoon,236080,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00169,174,Armand,Basi In Red,Basi In Red,240082,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00171,176,Armani,Stronger With You Powerfully,,250421,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00172,177,Armani,Stronger With You Powerfully,,250483,super,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00187,192,Armani,Prive OUD Royal,,240603,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00194,199,Armani,Armani Prive Pivoine Suzhou,Tiger Hill,233612,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00195,200,Armani,Si EDP Intense,,240673,intense; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00197,202,Armani,Santal Dan Sha,Imperial Palace,344206,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00199,204,Armani,My Way Luzi,White Catwalk,503781-T,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00200,205,Armani,Acqua Di Gio Absolu Instinct,True Pantelleria,339713,absolute_or_absolu; lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00201,206,Armani,Musc Shamal,Grand Tourer,343743,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00202,207,Armani,Si Fiori,,240598,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00203,208,Armani,Si Armani LZ,I Will,500951,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00204,209,Armani,Acqua Di Gio Homme,Pantellerio,554849,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00205,210,Armani,Sable Nuit,Golden Sky,503835,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00206,211,Armani,Aqua Di Gio Profondo Lights,Deep Island,233486,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00207,212,Armani,Stronger With You Leather,Powerful Golden Love,339881-X,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00208,213,Armani,Stronger With You Man,Powerful Love,233263-I,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00209,214,Armani,Armani Code Parfum,Dark Tuxedo,233155,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00210,215,Armani,Stronger With You OUD,Powerful Love In Orient,261186-TT,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00211,216,Armani,Stronger With You OUD,Powrful Love In Orient,261186-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00212,217,Armani,Magenta Tanzanite,Crimson Gemstone,680259,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00213,218,Armani,Indigo Tanzanite,Blue Gemstone,680261,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00214,219,Armani,Si Passione Eclat De Parfum,I Will Always Supreme,503937,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00215,220,Armani,My Way Parfum,Intense White Catwalk,261245-T,intense; lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00216,221,Armani,Stronger With You Amber,Strong Love,234035,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00218,223,Armani,Acqua Di Gio Absolu,,240338,absolute_or_absolu; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00219,224,Armani,Acqua Di Gio Profumo,,240314,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00223,228,Armani,Code,,240337,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00224,229,Armani,Armani Code Absolu,,240336,absolute_or_absolu; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00246,252,Armani Prive,Rouge Malachite,Rouge Malachite,240089,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00248,254,Ateeq Aloud,Ateeq Al OUD,Magic Of East,555839-K,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00252,258,Atelier Rebul,Istanbul,Bosphorus Delight,503854,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00253,259,Atkinsons,OUD Save The King,,240585,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00255,261,Attar Collection,Al Rayhan,Emeraldi,261024-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00256,262,Attar Collection,Hayati,Rubini,461909,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00258,264,Attar Colllection,Musk Kashmir,,240178,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00259,265,Attar Collection,Musk Kashmir,Oriental Luxury,233777,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00260,266,Attar Collection,Cristal Love For Her,Pure Diamond,343883,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00261,267,Attar Collection,Areej,Dream Of A Flower,504034,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00262,268,Attar Collection,Areej,Dream Of A Flower,504034-C,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00263,269,Avon,Today,Now,232491,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00269,275,Azzaro,The Most Wanted,,240199,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00273,279,Azzaro,Wanted,,240320,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00274,280,Azzaro,Wanted By Night,,240393,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00277,283,Ahmed Al,OUD & Roses,,250105,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00283,289,Ahmed Al,Marj,,250034,super,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00303,309,Bakhoor,Sweet OUD,Sweet Bakhoor,343972-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00322,329,Bakoor,Classic Bakhoor,Classic Bakhoor,343802-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00324,331,Bath & Body,You Are The One,Special Sweetheart,154525,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00325,332,Bath & Body,Vanilla Noir,Black Vanilla,650081,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00326,333,Bath And Body Works,Pink Chiffon,Sugar Flower,339415,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00330,337,Bdk Parfums,Pas Ce Soir Extrait,,IUTR2R,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00331,338,Bdk Parfums,Pas Ce Soir Extrait,,240769,super,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00332,339,Bdk Parfums,Gris Charnel Extrait,Gris Charnel Extrait,240085,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00333,340,Bdk Parfums,Velvet Tonka,Delicate Touch,336264,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00334,341,Bdk Parfums,Tabac Rose,Smoky Flowers,462353-T,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00335,342,Bdk Parfums,Gris Charnel,,240413,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00337,344,Bill Blass,Nude,Gentle Flower,343716,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00340,347,Blends Of Love,Ask / Khaltat,Turkish Love,233770-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00346,353,Boadicea The,Defender,,240010,duplicate_supplier_code,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00352,359,Boadicea The,Blue Sapphire,,240667,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00353,360,Boadicea The,Blue Sapphire,Jewel,501984,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00354,361,Boadicea The,Heroine,Addicted,503742,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00355,362,Boadicea The,Aurica,,240153,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00356,363,Boadicea The,Angelic,Peyrac,503844,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00357,364,Boadicea The,Hanuman,Sapiens,343945,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00358,365,Boadicea The,Green Sapphire,,240668,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00359,366,Boadicea The,Complex,,240475,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00374,381,Bond No 9,New York Amber W,Golden Nyc,232073,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00375,382,Bond No 9,New York Musk,Gotham City,338922,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00376,383,Bond No 9,New York OUD W,Sublime OUD,509543,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00377,384,Bond No 9,Perfume Bond No 9 W,Nyc Forever,342235,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00378,385,Bond No 9,West Side W,Golden State,339031,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00386,393,Boucheron,Boucheron Quatre,Timeless Ring,233370,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00387,394,Boucheron,Rose D'isparta,Queen Of Uluborlu,353996,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00388,396,Britney Spears,Midnight Fantasy LZ,Stage Whisper,338252-L,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00397,405,Burberry,Goddes,,240608,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00398,406,Burberry,Burberry Her,,240321,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00400,408,Burberry,Burberry Her Blossom,British Girl,339711,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00401,409,Burberry,My Burberry Blush,Pink Sweetheart,233290-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00402,410,Burberry,Burberry Weekend For,Sunday,343297-A,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00407,415,Burberry,Hero,,240394,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00426,434,Bvlgari,Bvlgari Man Wood Neroli,Groot 2,260948,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00430,438,Bvlgari,Rose Goldea,Immortal Pink,503522,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00431,439,Bvlgari,Aqva Pour Homme Atlantiqve,Nautilus,339368-B,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00432,440,Bvlgari,Bvlgari Man Terrae Essence,Conqueror,233525,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00444,452,Bvlgari,Tygar,Trendy Men,343645,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00445,453,Bvlgari,Tyger,Trendy Men,343645-T,lz_clone_name; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00446,454,Bvlgari,Tygar,Tygar,240071,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00449,457,Byredo,Blance Absolue,,250447,absolute_or_absolu; brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00450,458,Byredo,Alto Astrale,,250425,brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00451,459,Byredo,Bal D Afrique Absolu,,250196,absolute_or_absolu; brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00452,460,Byredo,Desert Dawn,,240554,brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00453,461,Byredo,La Tulipe,,240468,brand_contains_zero_possible_typo; top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00454,462,Byredo,Rose Of No Mans Land,,240235,brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00455,463,Byredo,Tobacco Mandarin,Cozy Ambience,339883-B,brand_contains_zero_possible_typo; lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00456,464,Byredo,Animalique,,FJSGTE45,brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
High,SUP-20260426-00457,465,Byredo,Rouge Chatique,,240121,brand_contains_zero_possible_typo,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00458,467,Byredo,Gypsy Water,Wanderlust,338847,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00459,468,Byredo,Gypsy Water,,240642,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00461,470,Byredo,Sundazed,Arctic Sun,261060,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00462,471,Byredo,Tabacco Mandarin,Cozy Ambience,339883,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00463,472,Byredo,Flowerhead,,240601,top,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00464,473,Byredo,Open Sky,Star Globe,261088,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
Medium,SUP-20260426-00465,474,Byredo,Blanche,Jade Elixir,280100,lz_clone_name,"Verify brand/name, resolve variant or duplicate, and approve/reject before catalogue promotion."
