id,supplier_item_id,clone_fragrance_id,original_fragrance_id,product_id,relationship_type,similarity_score,score_status,difference_summary,performance_notes,review_status
12,,20,11,,inspired_by,0.82,reviewed,Both profiles sit in the fresh aquatic direction; Halcyon Rue reads closer to its base notes than Solene Atelier.,"Reviewed first-party comparison, not a lab measurement.",approved
13,,25,20,,inspired_by,0.82,reviewed,Both profiles sit in the fresh aquatic direction; Lumen Botanica reads closer to its base notes than Halcyon Rue.,"Reviewed first-party comparison, not a lab measurement.",approved
14,,34,25,,inspired_by,0.82,reviewed,Both profiles sit in the fresh aquatic direction; Saltwood Parfums reads closer to its base notes than Lumen Botanica.,"Reviewed first-party comparison, not a lab measurement.",approved
15,,43,34,,inspired_by,0.82,reviewed,Both profiles sit in the fresh aquatic direction; Northwind Apothecary reads closer to its base notes than Saltwood Parfums.,"Reviewed first-party comparison, not a lab measurement.",approved
16,,16,7,,inspired_by,0.82,reviewed,Both profiles sit in the gourmand vanilla direction; Meridian & Ash reads closer to its base notes than Cormorant Hall.,"Reviewed first-party comparison, not a lab measurement.",approved
17,,21,16,,inspired_by,0.82,reviewed,Both profiles sit in the gourmand vanilla direction; Verdigris House reads closer to its base notes than Meridian & Ash.,"Reviewed first-party comparison, not a lab measurement.",approved
18,,30,21,,inspired_by,0.82,reviewed,Both profiles sit in the gourmand vanilla direction; Ferrier & Cole reads closer to its base notes than Verdigris House.,"Reviewed first-party comparison, not a lab measurement.",approved
19,,39,30,,inspired_by,0.82,reviewed,Both profiles sit in the gourmand vanilla direction; Ombra Fiore reads closer to its base notes than Ferrier & Cole.,"Reviewed first-party comparison, not a lab measurement.",approved
20,,48,39,,inspired_by,0.82,reviewed,Both profiles sit in the gourmand vanilla direction; Calder & Wren reads closer to its base notes than Ombra Fiore.,"Reviewed first-party comparison, not a lab measurement.",approved
21,,14,5,,inspired_by,0.82,reviewed,Both profiles sit in the green fougere direction; Meridian & Ash reads closer to its base notes than Cormorant Hall.,"Reviewed first-party comparison, not a lab measurement.",approved
22,,23,14,,inspired_by,0.82,reviewed,Both profiles sit in the green fougere direction; Verdigris House reads closer to its base notes than Meridian & Ash.,"Reviewed first-party comparison, not a lab measurement.",approved
23,,32,23,,inspired_by,0.82,reviewed,Both profiles sit in the green fougere direction; Ferrier & Cole reads closer to its base notes than Verdigris House.,"Reviewed first-party comparison, not a lab measurement.",approved
24,,37,32,,inspired_by,0.82,reviewed,Both profiles sit in the green fougere direction; Ombra Fiore reads closer to its base notes than Ferrier & Cole.,"Reviewed first-party comparison, not a lab measurement.",approved
25,,46,37,,inspired_by,0.82,reviewed,Both profiles sit in the green fougere direction; Calder & Wren reads closer to its base notes than Ombra Fiore.,"Reviewed first-party comparison, not a lab measurement.",approved
26,,15,6,,inspired_by,0.82,reviewed,Both profiles sit in the rose amber direction; Meridian & Ash reads closer to its base notes than Cormorant Hall.,"Reviewed first-party comparison, not a lab measurement.",approved
27,,24,15,,inspired_by,0.82,reviewed,Both profiles sit in the rose amber direction; Verdigris House reads closer to its base notes than Meridian & Ash.,"Reviewed first-party comparison, not a lab measurement.",approved
28,,29,24,,inspired_by,0.82,reviewed,Both profiles sit in the rose amber direction; Ferrier & Cole reads closer to its base notes than Verdigris House.,"Reviewed first-party comparison, not a lab measurement.",approved
29,,38,29,,inspired_by,0.82,reviewed,Both profiles sit in the rose amber direction; Ombra Fiore reads closer to its base notes than Ferrier & Cole.,"Reviewed first-party comparison, not a lab measurement.",approved
30,,47,38,,inspired_by,0.82,reviewed,Both profiles sit in the rose amber direction; Calder & Wren reads closer to its base notes than Ombra Fiore.,"Reviewed first-party comparison, not a lab measurement.",approved
31,,12,3,,inspired_by,0.82,reviewed,Both profiles sit in the white floral direction; Solene Atelier reads closer to its base notes than Aster & Vale.,"Reviewed first-party comparison, not a lab measurement.",approved
32,,17,12,,inspired_by,0.82,reviewed,Both profiles sit in the white floral direction; Halcyon Rue reads closer to its base notes than Solene Atelier.,"Reviewed first-party comparison, not a lab measurement.",approved
33,,26,17,,inspired_by,0.82,reviewed,Both profiles sit in the white floral direction; Lumen Botanica reads closer to its base notes than Halcyon Rue.,"Reviewed first-party comparison, not a lab measurement.",approved
34,,35,26,,inspired_by,0.82,reviewed,Both profiles sit in the white floral direction; Saltwood Parfums reads closer to its base notes than Lumen Botanica.,"Reviewed first-party comparison, not a lab measurement.",approved
35,,44,35,,inspired_by,0.82,reviewed,Both profiles sit in the white floral direction; Northwind Apothecary reads closer to its base notes than Saltwood Parfums.,"Reviewed first-party comparison, not a lab measurement.",approved
36,,10,1,,inspired_by,0.82,reviewed,Both profiles sit in the woody chypre direction; Solene Atelier reads closer to its base notes than Aster & Vale.,"Reviewed first-party comparison, not a lab measurement.",approved
37,,19,10,,inspired_by,0.82,reviewed,Both profiles sit in the woody chypre direction; Halcyon Rue reads closer to its base notes than Solene Atelier.,"Reviewed first-party comparison, not a lab measurement.",approved
38,,28,19,,inspired_by,0.82,reviewed,Both profiles sit in the woody chypre direction; Lumen Botanica reads closer to its base notes than Halcyon Rue.,"Reviewed first-party comparison, not a lab measurement.",approved
39,,33,28,,inspired_by,0.82,reviewed,Both profiles sit in the woody chypre direction; Saltwood Parfums reads closer to its base notes than Lumen Botanica.,"Reviewed first-party comparison, not a lab measurement.",approved
40,,42,33,,inspired_by,0.82,reviewed,Both profiles sit in the woody chypre direction; Northwind Apothecary reads closer to its base notes than Saltwood Parfums.,"Reviewed first-party comparison, not a lab measurement.",approved
